"species","mass","temp","MR","mean.mass","q10smr"
"Leuciscus_idus",600,10,15.96,600,53.07662
"Limanda_limanda",236,10,4.7908,NA,NA
"Limanda_limanda",396,15,11.6424,NA,NA
"Limanda_limanda",400,5,4.2,334.3662,24.94288
"Lipophrys_pholis",0.03,16,0.015225,NA,NA
"Lipophrys_pholis",0.2,16,0.0609,NA,NA
"Lipophrys_pholis",0.2,16,0.06818,NA,NA
"Lipophrys_pholis",0.2,16,0.0903,NA,NA
"Lipophrys_pholis",0.22,16,0.117502,NA,NA
"Lipophrys_pholis",0.23,16,0.073416,NA,NA
"Lipophrys_pholis",0.23,16,0.086618,NA,NA
"Lipophrys_pholis",0.23,16,0.096761,NA,NA
"Lipophrys_pholis",0.23,16,0.11431,NA,NA
"Lipophrys_pholis",0.23,16,0.120911,NA,NA
"Lipophrys_pholis",0.24,16,0.072408,NA,NA
"Lipophrys_pholis",0.25,16,0.089075,NA,NA
"Lipophrys_pholis",0.27,16,0.08127,NA,NA
"Lipophrys_pholis",0.27,16,0.101493,NA,NA
"Lipophrys_pholis",0.28,16,0.08428,NA,NA
"Lipophrys_pholis",0.35,16,0.09457,NA,NA
"Lipophrys_pholis",0.38,16,0.07315,NA,NA
"Lipophrys_pholis",0.38,16,0.077406,NA,NA
"Lipophrys_pholis",0.41,16,0.093275,NA,NA
"Lipophrys_pholis",0.59,16,0.176351,NA,NA
"Lipophrys_pholis",0.63,16,0.210357,NA,NA
"Lipophrys_pholis",0.66,16,0.149226,NA,NA
"Lipophrys_pholis",0.66,16,0.176484,NA,NA
"Lipophrys_pholis",0.66,16,0.232848,NA,NA
"Lipophrys_pholis",0.7,16,0.20874,NA,NA
"Lipophrys_pholis",0.73,16,0.111398,NA,NA
"Lipophrys_pholis",0.78,16,0.16653,NA,NA
"Lipophrys_pholis",0.98,16,0.157094,NA,NA
"Lipophrys_pholis",1.38,16,0.483,NA,NA
"Lipophrys_pholis",1.54,16,0.175714,NA,NA
"Lipophrys_pholis",1.55,16,0.3472,NA,NA
"Lipophrys_pholis",1.55,16,0.484995,NA,NA
"Lipophrys_pholis",1.55,16,0.756245,NA,NA
"Lipophrys_pholis",1.56,16,0.411684,NA,NA
"Lipophrys_pholis",1.63,16,0.233905,NA,NA
"Lipophrys_pholis",1.63,16,0.274981,NA,NA
"Lipophrys_pholis",1.63,16,0.290955,NA,NA
"Lipophrys_pholis",1.73,16,0.245833,NA,NA
"Lipophrys_pholis",1.73,16,0.366933,NA,NA
"Lipophrys_pholis",2.42,16,0.484484,NA,NA
"Lipophrys_pholis",2.71,16,0.457177,NA,NA
"Lipophrys_pholis",2.84,16,0.42742,NA,NA
"Lipophrys_pholis",2.84,16,0.463204,NA,NA
"Lipophrys_pholis",3.03,16,0.458136,NA,NA
"Lipophrys_pholis",3.03,16,0.483588,NA,NA
"Lipophrys_pholis",3.06,16,0.38556,NA,NA
"Lipophrys_pholis",3.08,16,0.612304,NA,NA
"Lipophrys_pholis",3.34,16,0.778554,NA,NA
"Lipophrys_pholis",3.92,16,0.565264,NA,NA
"Lipophrys_pholis",4.25,16,0.8449,NA,NA
"Lipophrys_pholis",4.49,16,0.75432,NA,NA
"Lipophrys_pholis",4.57,16,0.457457,NA,NA
"Lipophrys_pholis",4.75,16,0.754775,NA,NA
"Lipophrys_pholis",5.74,16,0.510286,NA,NA
"Lipophrys_pholis",5.85,16,0.986895,NA,NA
"Lipophrys_pholis",5.95,16,0.57477,NA,NA
"Lipophrys_pholis",5.95,16,0.9996,NA,NA
