"species","mass","temp","MR","mean.mass","q10smr","group","color"
"Gadus_morhua",645,12,50.568,NA,NA,"fish","#1B9E77"
"Gadus_morhua",700,15,36.75,NA,NA,"fish","#1B9E77"
"Gadus_morhua",720,12,26.712,NA,NA,"fish","#1B9E77"
"Gadus_morhua",803,12,41.0333,NA,NA,"fish","#1B9E77"
"Gadus_morhua",848,12,27.8992,NA,NA,"fish","#1B9E77"
"Gadus_morhua",947,12,35.1337,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1000,12,39.2,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1120,12,66.64,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1140,5,31.122,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1150,10,46.69,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1440,15,63.504,NA,NA,"fish","#1B9E77"
"Gadus_morhua",1580,15,86.268,NA,NA,"fish","#1B9E77"
"Gadus_morhua",2200,15,109.34,NA,NA,"fish","#1B9E77"
"Gadus_morhua",2330,5,58.716,NA,NA,"fish","#1B9E77"
"Gadus_morhua",3030,10,116.655,287.5407,62.84377,"fish","#1B9E77"
"Gambusia_affinis",0.22,20,0.042042,NA,NA,"fish","#1B9E77"
"Gambusia_affinis",0.22,25,0.056056,NA,NA,"fish","#1B9E77"
"Gambusia_affinis",0.22,30,0.07007,0.22,0.104984,"fish","#1B9E77"
"Gillichthys_mirabilis",0.2,15,0.0196,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.34,15,0.023086,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.41,15,0.028987,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.48,15,0.027552,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.61,15,0.048251,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.63,15,0.027342,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.68,15,0.041412,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",0.91,15,0.045864,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",1.29,15,0.068628,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",1.8,15,0.06804,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",1.88,15,0.103964,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.11,15,0.112252,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.2,15,0.11858,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.4,15,0.0924,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.4,15,0.10752,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.89,15,0.147679,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.93,15,0.125111,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",2.93,15,0.147672,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",3.24,15,0.099792,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",4.14,15,0.156492,NA,NA,"fish","#1B9E77"
"Gillichthys_mirabilis",4.72,15,0.194936,1.354302,0.219145,"fish","#1B9E77"
"Heteropneustes_fossilis",9,26,1.2285,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",10,26,1.197,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",15,26,1.3965,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",16,26,1.456,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",17,26,1.4756,NA,NA,"fish","#1B9E77"
"Heteropneustes_fossilis",23,26,1.9803,NA,NA,"fish","#1B9E77"
