"species","mass","temp","MR","mean.mass","q10smr"
"Pseudotriton_ruber",5.8,15,0.4234,NA,NA
"Pseudotriton_ruber",10.66,25,0.6172,9.115443,1.565894
"Necturus_maculosus",214,5,1.1684,NA,NA
"Necturus_maculosus",101.9,5,0.5095,NA,NA
"Necturus_maculosus",206,15,2.3031,NA,NA
"Necturus_maculosus",101.9,15,1.2228,NA,NA
"Necturus_maculosus",150,20,7.215,NA,NA
"Necturus_maculosus",115,21.5,3.8956,NA,NA
"Necturus_maculosus",114.5,22,3.1488,NA,NA
"Necturus_maculosus",212,25,5.6222,NA,NA
"Necturus_maculosus",125,25,2.475,142.3228,12.25402
"Taricha_torosa",17.5,18.5,2.73,17.5,12.7783
"Notophthalmus_viridescens",1.63,5,0.0898,NA,NA
"Notophthalmus_viridescens",2.43,10,0.1993,NA,NA
"Notophthalmus_viridescens",1.72,15,0.0592,NA,NA
"Notophthalmus_viridescens",1.7,15,0.1365,NA,NA
"Notophthalmus_viridescens",1.23,15,0.0752,NA,NA
"Notophthalmus_viridescens",3,20,0.135,NA,NA
"Notophthalmus_viridescens",1.31,20,0.1533,NA,NA
"Notophthalmus_viridescens",1.35,25,0.125,NA,NA
"Notophthalmus_viridescens",1.5,25,0.1532,1.69152,0.636548
"Salamandra_infraimmaculata",28.32,18.5,3.6448,28.32,17.06019
"Salamandra_salamandra",19.1,15,1.5471,NA,NA
"Salamandra_salamandra",75,16,1.1273,NA,NA
"Salamandra_salamandra",29,16,0.6238,NA,NA
"Salamandra_salamandra",10,16,0.4176,25.38769,4.777296
"Taricha_granulosa",9,5,0.1152,NA,NA
"Taricha_granulosa",13.3,5,0.5413,NA,NA
"Taricha_granulosa",10,5,0.4,NA,NA
"Taricha_granulosa",12.5,10,0.745,NA,NA
"Taricha_granulosa",10,10,0.6,NA,NA
"Taricha_granulosa",6.56,15,0.1601,NA,NA
"Taricha_granulosa",13.8,15,1.093,NA,NA
"Taricha_granulosa",10,15,0.768,NA,NA
"Taricha_granulosa",8.75,20,0.392,NA,NA
"Taricha_granulosa",10.1,20,1.0262,NA,NA
"Taricha_granulosa",10,20,1.004,NA,NA
"Taricha_granulosa",11.9,25,1.6398,NA,NA
"Taricha_granulosa",10,25,1.4,10.27591,3.837594
"Taricha_rivularis",10.83,15,0.3011,10.83,1.85923
"Taricha_torosa",11.23,10,0.1797,NA,NA
"Taricha_torosa",9.87,10,0.0888,NA,NA
"Taricha_torosa",6.94,15,0.2089,NA,NA
"Taricha_torosa",10.67,15,0.286,NA,NA
"Taricha_torosa",9.7,15,0.5238,NA,NA
"Taricha_torosa",9.7,15,0.2425,NA,NA
"Taricha_torosa",11.23,15,0.6064,NA,NA
"Taricha_torosa",9.87,15,0.2566,NA,NA
"Taricha_torosa",19.7,17,1.3514,NA,NA
"Taricha_torosa",11.23,20,0.685,NA,NA
"Taricha_torosa",9.87,20,0.2665,NA,NA
"Taricha_torosa",10.67,25,0.5452,NA,NA
"Taricha_torosa",11.23,25,1.3364,NA,NA
"Taricha_torosa",9.87,25,0.4244,NA,NA
"Taricha_torosa",11,25,0.5555,NA,NA
"Taricha_torosa",12.5,25,1.0738,10.71949,1.994019
"Triturus_cristatus",7,10,0.385,7,3.531486
"Lissotriton_vulgaris",8.75,6,0.863,NA,NA
"Lissotriton_vulgaris",8.75,15,0.8127,NA,NA
"Lissotriton_vulgaris",8.75,25,1.6264,8.75,6.283769
"Pseudobranchus_striatus",1.58,25,0.0932,NA,NA
"Pseudobranchus_striatus",2.19,25,0.1116,NA,NA
"Pseudobranchus_striatus",2.5,25,0.184,2.052802,0.347408
"Siren_intermedia",74.9,25,10.7631,NA,NA
"Siren_intermedia",13.7,25,0.4521,NA,NA
"Siren_intermedia",7,25,0.28,NA,NA
"Siren_intermedia",18.1,25,0.8661,18.98868,2.916406
"Siren_lacertina",601,5,2.0844,NA,NA
"Siren_lacertina",581,15,3.8114,NA,NA
"Siren_lacertina",172,20,4.6268,NA,NA
"Siren_lacertina",126,22,6.6654,NA,NA
"Siren_lacertina",628,25,9.0118,NA,NA
"Siren_lacertina",73,25,1.08,NA,NA
"Siren_lacertina",269,25,3.0397,NA,NA
"Siren_lacertina",1182,25,32.174,NA,NA
"Siren_lacertina",36,25,1.2679,251.1182,15.84462
"Bufo_alvarius",150.8,15,11.868,150.8,73.28244
"Bufo_americanus",25.2,5,0.6081,NA,NA
"Bufo_americanus",19,15,2.0934,NA,NA
"Bufo_americanus",27,20,1.377,NA,NA
"Bufo_americanus",50,20,1.39,NA,NA
"Bufo_americanus",27.03,20,1.38,NA,NA
"Bufo_americanus",27,20,1.377,NA,NA
"Bufo_americanus",11,21.5,1.2815,NA,NA
"Bufo_americanus",0.102,23,0.0247,NA,NA
"Bufo_americanus",40.4,25,2.9371,NA,NA
"Bufo_americanus",21.1,25,2.5873,14.63644,4.388652
"Bufo_boreas",72.7,5,4.0908,NA,NA
"Bufo_boreas",40.2,10,0.5548,NA,NA
"Bufo_boreas",47.3,10,0.6244,NA,NA
"Bufo_boreas",57.8,10,0.7283,NA,NA
"Bufo_boreas",46.4,14,4.9648,NA,NA
"Bufo_boreas",29.5,14,4.484,NA,NA
"Bufo_boreas",28.7,15,3.8706,NA,NA
"Bufo_boreas",40.2,20,1.3025,NA,NA
"Bufo_boreas",47.3,20,2.3177,NA,NA
"Bufo_boreas",57.8,20,1.052,NA,NA
"Bufo_boreas",2.5,20,0.25,NA,NA
"Bufo_boreas",27.3,25,2.64,NA,NA
"Bufo_boreas",53.8,25,5.5812,NA,NA
"Bufo_boreas",40.2,30,3.0512,NA,NA
"Bufo_boreas",47.3,30,2.4265,NA,NA
"Bufo_boreas",57.8,30,6.4852,37.28039,9.113253
"Bufo_bufo",28.59,6,2.037,NA,NA
"Bufo_bufo",76.13,6,1.7415,NA,NA
"Bufo_bufo",28.59,15,4.8389,NA,NA
"Bufo_bufo",76.13,15,2.8549,NA,NA
"Bufo_bufo",NA,17,4.8246,NA,NA
"Bufo_bufo",NA,20,4.901,NA,NA
"Bufo_bufo",NA,20,3.915,NA,NA
"Bufo_bufo",NA,25,4.5851,NA,NA
"Bufo_bufo",NA,25,9.64,41.59717,21.19721
"Bufo_calamita",NA,20,0.511,NA,NA
"Bufo_calamita",NA,20,0.5046,8.684987,2.110727
"Bufo_cognatus",NA,5,1.2792,NA,NA
"Bufo_cognatus",NA,10,1.979,NA,NA
"Bufo_cognatus",NA,15,3.8481,NA,NA
"Bufo_cognatus",NA,20,4.4725,NA,NA
"Bufo_cognatus",NA,25,2.9587,NA,NA
"Bufo_cognatus",NA,30,7.2036,42.25199,15.82427
"Bufo_debilis",NA,15,0.0845,0.66,0.52177
"Bufo_marinus",NA,15,2.2877,NA,NA
"Bufo_marinus",NA,15,1.5515,NA,NA
"Bufo_marinus",NA,15,4.6276,NA,NA
"Bufo_marinus",NA,18.5,33.15,NA,NA
"Bufo_marinus",NA,20,2.6088,NA,NA
"Bufo_marinus",NA,20,3.042,NA,NA
"Bufo_marinus",NA,22,7.32,NA,NA
"Bufo_marinus",NA,22,11.088,NA,NA
"Bufo_marinus",NA,25,3.1704,NA,NA
"Bufo_marinus",NA,25,6.3447,NA,NA
"Bufo_marinus",NA,30,5.7782,NA,NA
"Bufo_marinus",NA,35,8.2669,149.0675,18.40474
"Bufo_terrestris",NA,5,0.6527,NA,NA
"Bufo_terrestris",NA,15,1.336,NA,NA
"Bufo_terrestris",NA,15,7.5,NA,NA
"Bufo_terrestris",NA,20,15.1,NA,NA
"Bufo_terrestris",19.8,25,2.2425,NA,NA
"Bufo_terrestris",102,25,30.42,NA,NA
"Bufo_terrestris",102,30,61.25,49.81609,27.89483
"Bufo_viridis",35,20,0.875,35,3.637106
"Bufo_woodhousii",67.4,10,1.2739,NA,NA
"Bufo_woodhousii",69,15,2.7255,NA,NA
"Bufo_woodhousii",64.8,20,4.4129,NA,NA
"Bufo_woodhousii",52.2,23,2.16,NA,NA
"Bufo_woodhousii",56.3,25,2.2351,NA,NA
"Bufo_woodhousii",9,25,1.017,44.69417,8.768712
"Colostethus_inguinalis",1.57,20,0.1366,NA,NA
"Colostethus_inguinalis",1.53,25,0.2127,1.549871,0.581326
"Silverstoneia_nubicola",0.28,20,0.0314,NA,NA
"Silverstoneia_nubicola",0.27,25,0.0435,0.274955,0.126043
"Mannophryne_trinitatis",1,25,0.201,1,0.562431
"Dendrobates_auratus",2.09,20,0.1421,NA,NA
"Dendrobates_auratus",1.77,25,0.1593,1.923356,0.513116
"Hyloxalus_subpunctatus",1.5,15,0.108,1.5,0.666878
"Bombina_orientalis",2.62,20,0.149,NA,NA
"Bombina_orientalis",2.6,20,0.1456,2.609981,0.61224
"Discoglossus_pictus",30.71,20,1.142,NA,NA
"Discoglossus_pictus",30.7,20,1.1359,30.705,4.734248
"Acris_crepitans",1.935,5,0.0459,NA,NA
"Acris_crepitans",1.59,15,0.0477,NA,NA
"Acris_crepitans",1.735,15,0.1118,NA,NA
"Acris_crepitans",1.5,15,0.1155,NA,NA
"Acris_crepitans",0.5,15,0.0335,NA,NA
"Acris_crepitans",1.27,15,0.0838,NA,NA
"Acris_crepitans",0.9,15,0.0612,NA,NA
"Acris_crepitans",1.855,25,0.3288,NA,NA
"Acris_crepitans",1.5,25,0.2535,NA,NA
"Acris_crepitans",0.5,25,0.117,1.203342,0.489127
"Agalychnis_callidryas",5.65,20,0.337,NA,NA
"Agalychnis_callidryas",5.7,20,0.3477,5.674945,1.42287
"Cyclorana_platycephala",11,15,0.5907,11,3.64745
"Hyla_arborea",7.78,18.5,2.4429,7.78,11.43447
"Hyla_arenicolor",3.37,20,0.3,NA,NA
"Hyla_arenicolor",3.4,20,0.3162,3.384967,1.280234
"Hyla_chrysoscelis",3.9,10,0.1482,NA,NA
"Hyla_chrysoscelis",3.9,20,0.4368,NA,NA
"Hyla_chrysoscelis",5.47,20,0.7056,NA,NA
"Hyla_chrysoscelis",3.9,30,1.1365,4.244195,1.984096
"Hyla_cinerea",3.82,10,0.217,NA,NA
"Hyla_cinerea",6.4,15,0.8097,NA,NA
"Hyla_cinerea",3.82,20,0.5596,NA,NA
"Hyla_cinerea",8.9,22,1.513,NA,NA
"Hyla_cinerea",4.5,25,0.459,NA,NA
"Hyla_cinerea",5.1,27,0.689,NA,NA
"Hyla_cinerea",3.82,30,0.8488,4.950499,2.36997
"Hypsiboas_crepitans",9.9,25,1.1484,9.9,3.213414
"Pseudacris_crucifer",0.85,14,0.1037,NA,NA
"Pseudacris_crucifer",1.3,20,0.1443,NA,NA
"Pseudacris_crucifer",1.31,20,0.149,NA,NA
"Pseudacris_crucifer",1.3,20,0.1443,NA,NA
"Pseudacris_crucifer",1.15,20,0.1265,1.166957,0.605223
"Hyla_gratiosa",10.2,5,0.5281,NA,NA
"Hyla_gratiosa",10.2,15,0.9081,NA,NA
"Hyla_gratiosa",9.8,25,1.4431,NA,NA
"Hyla_gratiosa",13.9,29,1.321,10.91089,4.576912
"Hypsiboas_boans",41.4,25,3.933,41.4,11.00519
"Pseudacris_regilla",2.76,20,0.1656,NA,NA
"Pseudacris_regilla",2.27,21,0.089,2.503038,0.485049
"Hyla_squirella",2.2,27,0.363,2.2,0.867023
"Hyla_versicolor",8.3,5,0.5997,NA,NA
"Hyla_versicolor",8.3,15,0.8644,NA,NA
"Hyla_versicolor",8.62,19,0.6724,NA,NA
"Hyla_versicolor",6.09,20,0.6029,NA,NA
"Hyla_versicolor",7.6,25,1.5252,7.723584,4.264983
"Osteopilus_septentrionalis",4.98,20,0.33,NA,NA
"Osteopilus_septentrionalis",5,20,0.33,4.98999,1.371709
"Phyllomedusa_sauvagii",17.5,10,0.5075,NA,NA
"Phyllomedusa_sauvagii",17.5,15,0.77,NA,NA
"Phyllomedusa_sauvagii",17.5,25,1.8025,NA,NA
"Phyllomedusa_sauvagii",17.5,30,2.7475,NA,NA
"Phyllomedusa_sauvagii",17.5,35,4.1825,NA,NA
"Phyllomedusa_sauvagii",17.5,38,6.125,17.5,5.155052
"Pseudacris_nigrita",1,25,0.162,1,0.453303
"Pseudacris_triseriata",0.94,5,0.0141,NA,NA
"Pseudacris_triseriata",1.41,5,0.1695,NA,NA
"Pseudacris_triseriata",1.192,10,0.1774,NA,NA
"Pseudacris_triseriata",1.065,10,0.2556,NA,NA
"Pseudacris_triseriata",1.34,15,0.3015,NA,NA
"Pseudacris_triseriata",1.9,18.5,0.209,NA,NA
"Pseudacris_triseriata",1.125,20,0.2687,NA,NA
"Pseudacris_triseriata",1.056,20,0.4836,NA,NA
"Pseudacris_triseriata",0.94,25,0.1119,NA,NA
"Pseudacris_triseriata",1.31,25,0.5015,1.201447,1.117662
"Smilisca_fodiens",15.13,20,0.514,NA,NA
"Smilisca_fodiens",15.1,20,0.4832,15.11499,2.071538
"Smilisca_baudinii",23.7,15,1.5832,23.7,9.775932
"Hyperolius_marmoratus",1,20,0.0671,1,0.278914
"Hyperolius_tuberilinguis",1,20,0.0679,1,0.282239
"Hyperolius_viridiflavus",0.88,20,0.083,NA,NA
"Hyperolius_viridiflavus",0.9,20,0.0846,0.889944,0.348315
"Kassina_senegalensis",3.02,20,0.228,NA,NA
"Kassina_senegalensis",3,20,0.231,3.009983,0.953941
"Semnodactylus_wealii",6.25,20,0.318,NA,NA
"Semnodactylus_wealii",6.3,20,0.3402,6.27495,1.367189
"Eleutherodactylus_coqui",4.06,20,0.1786,NA,NA
"Eleutherodactylus_coqui",4.06,20,0.167,NA,NA
"Eleutherodactylus_coqui",4.1,20,0.1804,4.07329,0.728382
"Eleutherodactylus_portoricensis",3.7,15,0.2566,3.7,1.584452
"Leptodactylus_fuscus",5.1,25,0.5865,5.1,1.641125
"Odontophrynus_americanus",15.24,20,0.549,NA,NA
"Odontophrynus_americanus",15.2,20,0.5624,15.21999,2.309706
"Engystomops_pustulosus",1.72,25,0.26,NA,NA
"Engystomops_pustulosus",2.9,25,0.3393,2.233383,0.831098
"Telmatobius_culeus",122.3,10,1.7244,NA,NA
