"species","mass","temp","MR","mean.mass","q10smr"
"Sphaerodactylus_macrolepis",0.5,30,0.13,0.5,0.265245
"Chalcides_sepsoides",7.4,30,0.5846,7.4,1.192786
"Storeria_dekayi",7.2,20,0.63,NA,NA
"Storeria_dekayi",7.2,30,1.1664,7.2,2.731258
"Tarentola_mauritanica",6.6,20,0.4422,NA,NA
"Tarentola_mauritanica",6.6,30,0.8316,NA,NA
"Tarentola_mauritanica",6.6,35,1.2012,6.6,1.802775
"Thamnodynastes_strigatus",55,20,2.255,55,11.21967
"Thamnophis_butleri",19.02,25,1.170681,19.02,3.729986
"Thamnophis_proximus",31,20,2.325,NA,NA
"Thamnophis_proximus",31,30,4.65,31,10.47627
"Thamnophis_sirtalis",43,20,2.365,NA,NA
"Thamnophis_sirtalis",200,29,6.6,92.73618,13.16172
"Thamnophis_sirtalis",25,5,0.425,NA,NA
"Thamnophis_sirtalis",25,10,1.275,NA,NA
"Thamnophis_sirtalis",25,15,1.275,NA,NA
"Thamnophis_sirtalis",25,20,1.85,NA,NA
"Thamnophis_sirtalis",25,25,2.75,NA,NA
"Thamnophis_sirtalis",25,30,4,NA,NA
"Thamnophis_sirtalis",37.5,10,0.73125,NA,NA
"Thamnophis_sirtalis",37.5,15,1.05,NA,NA
"Thamnophis_sirtalis",37.5,20,1.5,NA,NA
"Thamnophis_sirtalis",37.5,25,2.5875,NA,NA
"Thamnophis_sirtalis",37.5,30,3.6,30.05948,8.864815
"Tiliqua_rugosa",508.6,35,73.2384,508.6,95.69247
"Tiliqua_scincoides",493,20,13.311,NA,NA
"Tiliqua_scincoides",493,30,44.37,493,77.43168
"Tiliqua_rugosa",461,20,13.83,NA,NA
"Tiliqua_rugosa",461,30,41.49,NA,NA
"Tiliqua_rugosa",461,37,64.54,461,74.35011
"Trogonophis_wiegmanni",4.985,25,0.192172,4.985,0.612291
"Uromastyx_aegyptia",289.84,20,3.507064,NA,NA
"Uromastyx_aegyptia",247.94,25,7.428282,NA,NA
"Uromastyx_aegyptia",269.04,30,13.15606,NA,NA
"Uromastyx_aegyptia",248.146,35,17.43474,NA,NA
"Uromastyx_aegyptia",291.546,40,32.53653,268.6255,23.30519
"Petrosaurus_mearnsi",14,20,0.546,NA,NA
"Petrosaurus_mearnsi",14,30,2.38,NA,NA
"Petrosaurus_mearnsi",14,37,3.5,14,3.695694
"Uta_stansburiana",3.625,20,2.86375,NA,NA
"Uta_stansburiana",3.625,30,4.948125,NA,NA
"Uta_stansburiana",3.625,35,10.3675,NA,NA
"Uta_stansburiana",3.625,37,1.0875,NA,NA
"Uta_stansburiana",3.625,40,17.58125,3.625,8.063033
"Varanus_albigularis",963,35,149.265,963,195.028
"Varanus_bengalensis",3440,20,92.88,NA,NA
"Varanus_bengalensis",3440,30,175.44,3440,406.7186
"Varanus_exanthematicus",3836,25,1893.623,NA,NA
"Varanus_exanthematicus",3836,30,2969.545,NA,NA
"Varanus_exanthematicus",3836,35,6729.422,3836,6850.004
"Varanus_giganteus",2496,25.9,107.0784,NA,NA
"Varanus_giganteus",2502,34.7,238.4406,2498.998,317.4175
"Varanus_gilleni",27.5,37,5.3625,27.5,5.862465
"Varanus_gouldii",76.9,19.7,2.93758,NA,NA
"Varanus_gouldii",674,20,16.176,NA,NA
"Varanus_gouldii",674,30,51.898,NA,NA
"Varanus_gouldii",169,30.7,11.4582,NA,NA
"Varanus_gouldii",1086,35,97.74,NA,NA
"Varanus_gouldii",154.6,35.5,19.04672,NA,NA
"Varanus_gouldii",674,37,75.488,NA,NA
"Varanus_gouldii",179.1,40,30.03507,NA,NA
"Varanus_gouldii",674,15,6.066,NA,NA
"Varanus_gouldii",674,20,18.198,NA,NA
"Varanus_gouldii",674,25,35.722,NA,NA
"Varanus_gouldii",674,30,51.898,NA,NA
"Varanus_gouldii",674,35,67.4,NA,NA
"Varanus_gouldii",674,40,80.88,443.0171,58.44781
"Varanus_mertensi",904,35,70.512,904,92.13019
"Varanus_panoptes",2005,20.5,54.937,NA,NA
"Varanus_panoptes",2003,30.6,178.0667,NA,NA
"Varanus_panoptes",931,35,122.892,NA,NA
"Varanus_panoptes",1427,35.3,171.24,NA,NA
"Varanus_panoptes",799,40,164.3543,1336.421,212.4759
