Higher-level clade (strict phylogenetic order),Traditional Order,Traditional Family,Species,log10 productivity,log10 mass,Nest type,Foraging habitat,Developmental mode,Time of activity,Social system,Migratory mode,Diet
Phoenicopteriformes-Podicipediformes,Podicipediformes,Podicipedidae,Podiceps nigricollis,-0.582,2.615,open,freshwater,semialtricial,diurnal,Pair,migrant,invertebrate
Phoenicopteriformes-Podicipediformes,Ciconiiformes,Phoenicopteridae,Phoenicopterus ruber,-1.153,3.482,open,freshwater,altricial,diurnal,Pair,migrant,invertebrate
Phaethontidae,Ciconiiformes,Phaethontidae,Phaethon lepturus,-0.754,2.516,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Phaethontidae,Ciconiiformes,Phaethontidae,Phaethon aethereus,-1.072,2.875,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Phaethontidae,Ciconiiformes,Phaethontidae,Phaethon rubricauda,-0.985,2.827,open,pelagic,altricial,diurnal,Pair,migrant,vertfishscav
Pteroclidiformes,Pteroclidiformes,Pteroclidae,Pterocles orientalis,-0.39,2.607,open,terrestrial,precocial,diurnal,Pair,migrant,seed
Pteroclidiformes,Pteroclidiformes,Pteroclidae,Pterocles exustus,-0.399,2.307,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Pteroclidiformes,Pteroclidiformes,Pteroclidae,Pterocles alchata,-0.273,2.441,open,terrestrial,precocial,diurnal,Pair,migrant,seed
Pteroclidiformes,Pteroclidiformes,Pteroclidae,Pterocles namaqua,-0.674,2.248,open,terrestrial,precocial,diurnal,Pair,migrant,seed
Pteroclidiformes,Pteroclidiformes,Pteroclidae,Syrrhaptes paradoxus,-0.309,2.409,open,terrestrial,precocial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Treron sphenura,-0.926,2.322,open,terrestrial,altricial,diurnal,Pair,nonmigrant,fruit
Columbiformes,Columbiformes,Columbidae,Oena capensis,-0.478,1.609,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Geotrygon montana,-0.585,2.127,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Zenaida macroura,-0.484,2.075,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Zenaida asiatica,-0.61,2.185,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Leptotila verreauxi,-0.497,2.167,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Columba flavirostris,-0.941,2.433,open,terrestrial,altricial,diurnal,Unknown,nonmigrant,fruit
Columbiformes,Columbiformes,Columbidae,Columba fasciata,-0.905,2.564,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Columba palumbus,-0.946,2.69,open,terrestrial,altricial,diurnal,Pair,migrant,vegetation
Columbiformes,Columbiformes,Columbidae,Columba guinea,-0.57,2.547,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Columba livia,-0.299,2.549,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Columba oenas,-0.396,2.464,cavity,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia capicola,-0.347,2.152,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia decaocto,-0.346,2.173,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia orientalis,-0.765,2.367,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia turtur,-0.508,2.121,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia semitorquata,-0.481,2.246,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Streptopelia senegalensis,-0.054,1.915,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Columbina passerina,-0.358,1.549,open,terrestrial,altricial,diurnal,Pair,nonmigrant,seed
Columbiformes,Columbiformes,Columbidae,Columbina talpacoti,-0.42,1.663,open,terrestrial,altricial,diurnal,Pair,migrant,seed
Caprimulgiformes-Apodiformes,Caprimulgiformes,Steatornithidae,Steatornis caripensis,-0.827,2.611,cave,terrestrial,altricial,nocturnal,Pair,nonmigrant,fruit
Caprimulgiformes-Apodiformes,Caprimulgiformes,Nyctibiidae,Nyctibius griseus,-0.946,2.236,open,terrestrial,altricial,nocturnal,Pair,migrant,invertebrate
